Иванов,Иван,Иванович
Петров,Петр,Петрович
Сидоров,Сидор,Сидорович
Васильев,Василий,Васильевич
Алексеев,Алексей,Алексеевич
Джугашвили,Иосиф,Виссарионович
Рокоссовский,Константин,Константинович
Ленин,Владимир,Ильич
Хрущёв,Никита,Сергеевич
Брежнев,Леонид,Ильич
Троцкий,Лев,Давидович
Каменев,Лев,Борисович
Зиновьев,Григорий,Евсеевич
Козлов,Михаил,Александрович
Григорьева,Мария,Георгиевна
Токарев,Сергей,Богданович
Кудрявцев,Тимур,Владиславович
Трофимова,Валерия,Алексеевна
Гусев,Максим,Артёмович
Мартынов,Даниил,Арсентьевич
Ермолов,Фёдор,Янович
Морозова,Айлин,Николаевна
Королева,Арина,Петровна